Category,OED Code,AIR code,Name,Description,Code Range,Broad Category
Occupancy,2620,N/A,"Industrial Facilities Model, IFM: Gas Transmission Systems - General","Gas transportation/ transmission; contains assets such as trunk pipelines, pumping plants, and tank farms (these can be coded specifically by using existing OED construction codes)",2600 - 2649,IFM Gas Processing
Occupancy,2650,483,"Industrial Facilities Model, IFM Communication Systems -General",,2650 - 2699,IFM Communications
Occupancy,2651,N/A,"Industrial Facilities Model, IFM: Transmission Systems - Other/Unknown","Miscellaneous transportation/transmission; contains assets such as trunk pipelines, pumping plants, and tank farms (these can be coded specifically by using existing OED construction codes). Oil, gas and water transmission can be specified using available occupancy codes.",2650 - 2699,IFM Communications
Occupancy,2700,484,Agriculture Systems - General,,2700 - 2749,IFM Agriculture
Occupancy,2750,485,"Industrial Facilities Model, IFM: Bus Systems - General",,2750 - 2799,IFM transportation
Occupancy,2760,486,"Industrial Facilities Model, IFM: Port Systems",,2750 - 2799,IFM transportation
Occupancy,2770,487,"Industrial Facilities Model, IFM: Ferry Systems",,2750 - 2799,IFM transportation
Occupancy,2780,488,"Industrial Facilities Model, IFM: Airport Systems - General",,2750 - 2799,IFM transportation
Occupancy,3000,900,"Offshore, Unknown",The offshore platform occupancy is unknown.,3000,Offshore unknown
Occupancy,3001,901,"Offshore, Oil production only",Offshore platforms that produce oil only.,3001 - 3999,Offshore
Occupancy,3002,902,"Offshore, Gas production only",Offshore platforms that produce gas only.,3001 - 3999,Offshore
Occupancy,3003,903,"Offshore, No production",Offshore platforms that do not produce oil or gas.,3001 - 3999,Offshore
Occupancy,3004,904,"Offshore, Oil and gas production",Offshore platforms that produce oil and gas.,3001 - 3999,Offshore
Occupancy,3005,905,"Offshore, Drilling",Platforms used for drilling.,3001 - 3999,Offshore
Occupancy,3006,906,"Offshore, Workover","Platforms that repair or stimulate existing production wells for the purpose of restoring, prolonging, or enhancing the production of hydrocarbons.",3001 - 3999,Offshore
Occupancy,3007,907,"Offshore, Ready stacked",Rigs that are not under contract but generally are ready for service.,3001 - 3999,Offshore
Occupancy,3008,908,"Offshore, Waiting on location",Waiting on location.,3001 - 3999,Offshore
Occupancy,3009,909,"Offshore, Pipelines",Pipelines,3001 - 3999,Offshore
Occupancy,3010,N/A,"Barge, support vessel, seismic vessel",,3001 - 3999,Offshore
Occupancy,3011,N/A,"Buoy (single point mooring - SPM, catenary anchor leg mooring - CALM)",,3001 - 3999,Offshore
Occupancy,3012,N/A,Crane barge or pipelay vessel,,3001 - 3999,Offshore
Occupancy,3013,N/A,Drill ship,,3001 - 3999,Offshore
Occupancy,3014,N/A,"Floating liquefied natural gas (LNG), gas to liquid (GTL) vessel",,3001 - 3999,Offshore
Occupancy,3015,N/A,"Floating, production, storage and off-loading vessel (FPSO)",,3001 - 3999,Offshore
Occupancy,3016,N/A,"Floating, storage and off-loading vessel (FSO)",,3001 - 3999,Offshore
Occupancy,3017,N/A,Offshore complex (bridge linked fixed steel structures),,3001 - 3999,Offshore
Occupancy,3018,N/A,Offshore concrete gravity based structure,,3001 - 3999,Offshore
Occupancy,3019,N/A,Offshore fixed steel structure,,3001 - 3999,Offshore
Occupancy,3020,N/A,Other floating production systems,,3001 - 3999,Offshore
Occupancy,3021,N/A,Self elevating jack-up with independent legs,,3001 - 3999,Offshore
Occupancy,3022,N/A,Self elevating jack-up with mat base,,3001 - 3999,Offshore
Occupancy,3023,N/A,Semi submersible drilling rig,,3001 - 3999,Offshore
Occupancy,3024,N/A,Semi submersible production platform,,3001 - 3999,Offshore
Occupancy,3025,N/A,Spar or tension leg platform,,3001 - 3999,Offshore
Occupancy,3026,N/A,Subsea equipment: deep (> 200m and <= 1500m),,3001 - 3999,Offshore
Occupancy,3027,N/A,Subsea equipment: shallow (< 200 m),,3001 - 3999,Offshore
Occupancy,3028,N/A,Subsea equipment: ultra deep ( > 1500m),,3001 - 3999,Offshore
Occupancy,3029,N/A,Offshore pipeline: deep (> 200m and <= 1500m),,3001 - 3999,Offshore
Occupancy,3030,N/A,Offshore pipeline: shallow (<= 200m),,3001 - 3999,Offshore
Occupancy,3031,N/A,Offshore pipeline: ultra deep ( > 1500m),,3001 - 3999,Offshore
Occupancy,3032,N/A,Offshore renewables - general,,3001 - 3999,Offshore
Occupancy,3033,N/A,Offshore Wind,"All assest associated with offshore wind. Use Construction codes to differentiate between turbines, cables and substations (both offshore and onshore substations)",3001 - 3999,Offshore
Occupancy,3034,N/A,Offshore Tidal,All assets associated with offshore tidal energy,3001 - 3999,Offshore
Occupancy,3035,N/A,Offshore Ocean Wave,All assets associated with offshore ocean wave energy,3001 - 3999,Offshore
Occupancy,3036,N/A,Floating Solar PV,All assets associated with floating solar PV,3001 - 3999,Offshore
