"Category","Code","CodeDescription","Notes"
"SalvageProtection","1","Vulnerable",""
"SalvageProtection","2","Average",""
"SalvageProtection","3","Resilient",""
"ServiceEquipmentProtection","0","Unknown / default",""
"ServiceEquipmentProtection","1","Protected for flood (i.e. protected for flood by being elevated and/or flood proofing)",""
"ServiceEquipmentProtection","2","Unprotected for flood (i.e. not elevated and not flood protected)",""
"ShapeIrregularity","0","Unknown / default",""
"ShapeIrregularity","2","Vertical Offset",""
"ShapeIrregularity","3","Non-uniform Floor Area","E.g., a sudden change in floor area along the height"
"ShapeIrregularity","4","Discontinuous Shear Wall","I.e., the main load-resisting components are not provided in a regular, symmetric pattern"
"ShapeIrregularity","5","Heavy floor","E.g., placement of heavy equipment on higher floors"
"ShortColumn","0","Unknown / default",""
"ShortColumn","1","No",""
"ShortColumn","2","Yes",""
"SmallDebris","0","Unknown / default",""
"SmallDebris","1","No",""
"SmallDebris","2","Yes",""
"SoftStory","0","Unknown / default",""
"SoftStory","1","No",""
"SoftStory","2","Yes",""
"SoilLiquefiable","0","Unknown / not applicable","Soil susceptibility to liquefaction unknown or not applicable."
"SoilLiquefiable","1","Soil not susceptible to liquefaction (clay-like soils)","Liquefaction susceptibility not identified in the predominant soil layers at this location, to a depth relevant for the asset foundations. Soils are to be designated as non-liquefiable if they are clay-like. Numerically, this can be determined by the Plasticity Index (PI), where it is recommended that non-liquefiable (clay-like) soils are identified where PI > 7, as per recommendations of Boulanger and Idriss (2006)."
"SoilLiquefiable","2","Soil susceptible to liquefaction (sand-like soils)","Liquefaction susceptibility not identified in the predominant soil layers at this location, to a depth relevant for the asset foundations. Soils are to be designated as liquefiable if they are sand-like. Numerically, this can be determined by the Plasticity Index (PI), where it is recommended that liquefiable (sand-like) soils are identified where PI < 7, as per recommendations of Boulanger and Idriss (2006)."
"SoilType","0","No soil information (default)",""
"SoilType","1","Time averaged shear-wave velocity to 30m depth (vs30 (m/s))",""
"SolarFarmType","0","Unknown","All  assets associated with unknown scale solar farms"
"SolarFarmType","1","Residential","All  assets associated with small scale solar farms, sometime called Community Solar. This provides energy to homes."
"SolarFarmType","2","Commercial","All  assets associated with small scale solar farms, provides energy to businesses."
"SolarFarmType","3","Utility Unknown Size","Solar utility - All assets associated with a solar installation with a capacity larger than 1 MW is considered an utility. Utility solar unknown is used when the Capacity (MW) value is not known but larger than 1 MW."
"SolarFarmType","4","Utility Small","Solar utility with Capacity lower than 5 MW, ground mounted."
"SolarFarmType","5","Utility Medium","Solar utility with Capacity between 5 MW to 25 MW, ground mounted."
"SolarFarmType","6","Utility Large","Solar utility with Capacity larger than 25 MW, ground mounted."
"SpecialEQConstruction","0","Unknown / default",""
"SpecialEQConstruction","1","Base isolation",""
"SpecialEQConstruction","2","Visco-elastic dampers",""
"SpecialEQConstruction","3","Other energy dissipaters",""
"SprinklerType","0","Unknown / default",""
"SprinklerType","1","No sprinkler",""
"SprinklerType","2","CO2 / Halon sprinkler",""
"SprinklerType","3","Dry sprinkler",""
"SprinklerType","4","Standpipe sprinkler",""
"SprinklerType","5","Wet sprinkler",""
"StaticMotorVehicle","0","Dynamic motor vehicle that moves from location to location",""
"StaticMotorVehicle","1","Static motor vehicle",""
"Statuses","B","Bound",""
"Statuses","C","Cancelled",""
"Statuses","Q","Quoted",""
"Statuses","R","Rejected",""
"Statuses","S","Submitted",""
"StepTriggerType","1","Building",""
"StepTriggerType","2","Contents",""
"StepTriggerType","3","Building and Contents",""
"StepTriggerType","4","Building, then Contents",""
"StepTriggerType","5","Building, Contents separately",""
"TallOneStory","0","Unknown / default",""
"TallOneStory","1","<= 20 ft",""
"TallOneStory","2","> 20ft and < 40ft",""
"TallOneStory","3",">= 40ft",""
"Tank","0","Unknown / default",""
"Tank","1","No",""
"Tank","2","Yes",""
"TerrainRoughness","0","Unknown / default",""
"TerrainRoughness","1","Large city centers","Large city centers with at least 50% of the buildings having a height in excess of 70 feet (21.3 m). You should limit the use of this exposure category to areas for which terrain representative of this category prevails in the upward direction for a distance of at least 0.5 mi. (0.8 km) or 10 times the height of the building or other structure, whichever is greater. Possible channelling effect on building will be taken into account."
"TerrainRoughness","2","Urban and suburban areas, wooded areas","Urban and suburban areas, wooded areas, or other terrain with numerous closely spaced obstructions having the size of single-family dwellings or larger. You should limit the use of this exposure category to areas for which terrain representative of this category prevails in the upwind direction for a distance of at least 1,500 feet (460 m) or 10 times the height of the building or other structure, whichever is greater."
"TerrainRoughness","3","Open terrain with scattered obstruct","Open terrain with scattered obstructions having heights generally less than 30 feet (9.1 m). This category includes flat, open country and grasslands."
"TerrainRoughness","4","Flat, unobstructed areas","Flat, unobstructed areas exposed to winds flowing over open water for a distance of at least 1 mile (1.61 km). This exposure category applies only to buildings and other structures exposed to the winds coming off the water. This exposure category extends inland from the shoreline a distance of 1,500 feet (460 m) or 10 times the height of the building or structure, whichever is greater."
"Torsion","0","Unknown / default",""
"Torsion","1","Symmetric",""
"Torsion","2","Asymmetric",""
"Torsion","3","Corner building",""
"TreeExposure","0","Unknown / default",""
"TreeExposure","1","No",""
"TreeExposure","2","Yes",""
"Units","1","Feet (Distance)",""
"Units","11","Square feet (Area)",""
"Units","12","Square meters (Area)",""
"Units","13","Acre (Area)",""
"Units","14","Hectare (Area)",""
"Units","2","Meters (Distance)",""
"Units","3","Kilometers (Distance)",""
"Units","4","Miles (Distance)",""
"ValuablesStorage","0","Unknown / default",""
"ValuablesStorage","1","Vault",""
"ValuablesStorage","2","Safe",""
"ValuablesStorage","3","Strongbox",""
"ValuablesStorage","4","Unprotected exhibition",""
"ValuablesStorage","5","Protected exhibition (protection around specific art pieces)",""
"ValuablesStorage","6","Archive",""
"ValuablesStorage","7","Special facility",""
"VoltageOfEnergy","0","Unknown",""
"VoltageOfEnergy","1","Low Voltage (<115 KV) Substation",""
"VoltageOfEnergy","2","Medium Voltage (115-500 KV) Substation",""
"VoltageOfEnergy","3","High Voltage (>500 KV) Substation",""
"WallAttachedStructure","0","Unknown / default",""
"WallAttachedStructure","1","Carports / Canopies / Porches",""
"WallAttachedStructure","2","Single Door Garages",""
"WallAttachedStructure","3","Double Door Garages",""
"WallAttachedStructure","4","Reinforced Single Door Garages",""
"WallAttachedStructure","5","Reinforced Double Door Garages",""
"WallAttachedStructure","6","Screened Porches/Glass Patio Doors",""
"WallAttachedStructure","7","Balcony",""
"WallAttachedStructure","8","No attached wall structures",""
"WallAttachedStructure","9","Attached screen enclosure / Lanai",""
"WindowProtection","0","Unknown / default",""
"WindowProtection","1","No protection",""
"WindowProtection","2","Non-engineered shutters",""
"WindowProtection","3","Engineered shutters",""
